Libellé;CIP13
"EXFORGE 10 mg/160 mg, comprimé pelliculé, VALSARTAN : 160 mg pour un comprimé ; BÉSILATE D'AMLODIPINE, comprimé pelliculé, plaquette de 90 comprimés";3400937818315
SPIRONOLACTONE ZENTIVA 75 mg, comprimé sécable, SPIRONOLACTONE : 75 mg pour un comprimé, comprimé sécable, plaquette de 30 comprimés;3400936738287
SPIRONOLACTONE ZENTIVA 75 mg, comprimé sécable, SPIRONOLACTONE : 75 mg pour un comprimé, comprimé sécable, plaquette de 90 comprimés;3400937875035
GABITRIL 10 mg, comprimé pelliculé, CHLORHYDRATE DE TIAGABINE MONOHYDRATÉ, comprimé pelliculé, 1 flacon de 50 comprimés avec fermeture de sécurité enfant;3400934126253
LYNPARZA 150 mg, comprimé pelliculé, OLAPARIB : 150 mg pour un comprimé, comprimé pelliculé, 14 plaquette de 8 comprimés (emballage multiple : 2 x 56);3400930144213
RITALINE 10 mg, comprimé sécable, CHLORHYDRATE DE MÉTHYLPHÉNIDATE : 10 mg pour un comprimé, comprimé sécable, plaquette de 30 comprimés;3400933929404
POMALIDOMIDE ACCORD 3 mg, gélule, POMALIDOMIDE : 3 mg pour une gélule, gélule, 14 plaquette de 1 gélule (plaquette unitaire);3400930301418
POMALIDOMIDE ACCORD 3 mg, gélule, POMALIDOMIDE : 3 mg pour une gélule, gélule, 21 plaquette de 1 gélule (plaquette unitaire);3400930301425
TETRALYSAL 150 mg, gélule, LYMÉCYCLINE : 226 mg pour une gélule, gélule, film de 56 gélules;3400941588099
OXYGENE MEDICINAL LIQUIDE AIR LIQUIDE ANTILLES GUYANE, gaz pour inhalation, pour évaporateur fixe, OXYGÈNE : qsp (sous une pression de 10 à 12 bar, à -150 °C) pour une gélule, gaz pour inhalation, évaporateur fixe acier de 100 l;3400957006471
PREGABALINE TEVA SANTE 200 mg, gélule, PRÉGABALINE : 200 mg pour une gélule, gélule, 84 plaquette de 1 gélule;3400930022849
"INEGY 10 mg/20 mg, comprimé, SIMVASTATINE : 20 mg pour un comprimé ; ÉZÉTIMIBE : 10 mg pour un comprimé, comprimé, plaquette de 30 comprimés";3400949003167
"INEGY 10 mg/20 mg, comprimé, SIMVASTATINE : 20 mg pour un comprimé ; ÉZÉTIMIBE : 10 mg pour un comprimé, comprimé, plaquette de 90 comprimés";3400949003174
DAFLON 500 mg, comprimé pelliculé, FRACTION FLAVONOÏQUE PURIFIÉE MICRONISÉE : 500 mg pour un comprimé, comprimé pelliculé, plaquette de 60 comprimés;3400949000555
GALANTAMINE ARROW LP 8 mg, gélule à libération prolongée, BROMHYDRATE DE GALANTAMINE, gélule à libération prolongée, plaquette de 28 gélules;3400922012865
CELIPROLOL ZENTIVA 200 mg, comprimé pelliculé, CHLORHYDRATE DE CÉLIPROLOL : 200 mg pour un comprimé, comprimé pelliculé, plaquette de 90 comprimés;3400938972559
CELIPROLOL ZENTIVA 200 mg, comprimé pelliculé, CHLORHYDRATE DE CÉLIPROLOL : 200 mg pour un comprimé, comprimé pelliculé, plaquette de 30 comprimés;3400939082660
PANTOPRAZOLE ZF 20 mg, comprimé gastro-résistant, PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ : 22,56 mg pour un comprimé, comprimé gastro-résistant(e), plaquette de 7 comprimés;3400926765002
